"Loyalty Points Redeemed","Loyalty Points Redeemed"
"Gift Card Redeemed ","Gift Card Redeemed "
"Validate Base URL","Validate Base URL"
"12 Hours","12 Hours"
"24 Hours","24 Hours"
"Valid till","Valid till"
"Minimum Qty :","Minimum Qty :"
"Avail %1 Off ","Avail %1 Off "
"Click Here to see the items","Click Here to see the items"
"if Buy with any of these items: ","if Buy with any of these items: "
"Expiry :","Expiry :"
"Coupon Code :","Coupon Code :"
Special,Special
"Please select your hierarchy code","Please select your hierarchy code"
"No hierarchy code found for the selected store","No hierarchy code found for the selected store"
"Please select your web store","Please select your web store"
"No store found for entered omni api url","No store found for entered omni api url"
"The gift card code %1 is not valid.","The gift card code %1 is not valid."
"You have successfully cancelled the gift card.","You have successfully cancelled the gift card."
"The applied amount %3 is greater than gift card balance amount (%1) or it is greater than order balance (Excl. Shipping Amount) (%2).","The applied amount %3 is greater than gift card balance amount (%1) or it is greater than order balance (Excl. Shipping Amount) (%2)."
"The gift card amount ""%1"" is not valid.","The gift card amount ""%1"" is not valid."
"Totals calculation is not applicable to empty cart.","Totals calculation is not applicable to empty cart."
"Customer session not found.","Customer session not found."
"The loyalty points ""%1"" are not valid.","The loyalty points ""%1"" are not valid."
"The gift card Amount ""%1"" is not valid.","The gift card Amount ""%1"" is not valid."
"You have used ""%1"" amount from gift card.","You have used ""%1"" amount from gift card."
"Gift Card cannot be applied.","Gift Card cannot be applied."
"You have redeemed ""%1"" loyalty points.","You have redeemed ""%1"" loyalty points."
"The loyalty points can't be redeemed.","The loyalty points can't be redeemed."
"You have successfully canceled the points redemption.","You have successfully canceled the points redemption."
"We cannot redeem the points.","We cannot redeem the points."
"Check Your Gift Card Balance","Check Your Gift Card Balance"
Notice,Notice
"This item is only available online.","This item is only available online."
"Please check other stores or remove the not available item(s) from your ","Please check other stores or remove the not available item(s) from your "
"This item is available","This item is available"
"You have selected %1 quantity for this item.
                                 We only have %2 quantity available in stock for this store.
                                 Please update this item quantity in cart.","You have selected %1 quantity for this item.
                                 We only have %2 quantity available in stock for this store.
                                 Please update this item quantity in cart."
"This item is not available","This item is not available"
"Oops! Unable to do stock lookup currently.","Oops! Unable to do stock lookup currently."
"Our Stores","Our Stores"
Save,Save
"Coupon Code is not valid for these item(s)","Coupon Code is not valid for these item(s)"
"Reset password token expired.","Reset password token expired."
Closed,Closed
"The gift card amount ""%1"" and loyalty points ""%2"" are not valid.","The gift card amount ""%1"" and loyalty points ""%2"" are not valid."
Products,Products
SKU,SKU
Qty,Qty
Price,Price
Discount,Discount
Subtotal,Subtotal
"Total Discount:","Total Discount:"
"Loyalty Points Redeemed:","Loyalty Points Redeemed:"
"GiftCard Redeemed ","GiftCard Redeemed "
"Invoice # ","Invoice # "
"Excl. Tax","Excl. Tax"
"Incl. Tax","Incl. Tax"
"Tax (Inclusive Total)","Tax (Inclusive Total)"
"Gift Card Redeemed","Gift Card Redeemed"
"Gift Card No","Gift Card No"
"You will earn","You will earn"
"Login to earn","Login to earn"
"You are using","You are using"
"Coupon code successfully removed.","Coupon code successfully removed."
"You used coupon code ""%1"".","You used coupon code ""%1""."
"Something terrible happened while placing order","Something terrible happened while placing order"
"Flat No/House No/Building No","Flat No/House No/Building No"
"Street Name/Landmark","Street Name/Landmark"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Cart isn't assigned to correct store","Cart isn't assigned to correct store"
"Could not delete coupon code","Could not delete coupon code"
"Product that you are trying to add is not available.","Product that you are trying to add is not available."
"Max quantity available for this item is %1","Max quantity available for this item is %1"
"Make Check payable to:","Make Check payable to:"
"Send Check to:","Send Check to:"
"Make Check payable to: %1","Make Check payable to: %1"
"Ls Central Order Reference ID:","Ls Central Order Reference ID:"
"Loyalty Points Earned","Loyalty Points Earned"
"Coupon Code Redeemed","Coupon Code Redeemed"
"Gift Card Code","Gift Card Code"
"Chosen Store","Chosen Store"
Loading...,Loading...
"Loading Coupons...","Loading Coupons..."
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Apply Gift Card","Apply Gift Card"
Apply,Apply
Update,Update
Cancel,Cancel
Item,Item
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Apply Loyalty Points","Apply Loyalty Points"
"You have %1 loyalty points. Each of 10 Points gets %2 discount.","You have %1 loyalty points. Each of 10 Points gets %2 discount."
Redeem,Redeem
"Loading recommended products for you...","Loading recommended products for you..."
"Recommended Products for you","Recommended Products for you"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Make Check payable to","Make Check payable to"
"Send Check to","Send Check to"
"Loading Product Discounts...","Loading Product Discounts..."
"Check Availability in Stores","Check Availability in Stores"
"Please <a href=""%1"">Login</a> / <a href=""%2"">Register</a> to view available discounts on this product.","Please <a href=""%1"">Login</a> / <a href=""%2"">Register</a> to view available discounts on this product."
"Offers and Promotions:","Offers and Promotions:"
"Find Discounts","Find Discounts"
Store,Store
Address,Address
Phone,Phone
Hours,Hours
"Select Store by map ","Select Store by map "
"Search for a Store ","Search for a Store "
"View Details","View Details"
"Options Details","Options Details"
"Gift Card Code:","Gift Card Code:"
"Check Balance","Check Balance"
Reset,Reset
"See Details","See Details"
Edit,Edit
Remove,Remove
"Cancel coupon","Cancel coupon"
"Enter Gift Card","Enter Gift Card"
"Place Order","Place Order"
Items,Items
Close,Close
"Gift card successfully removed.","Gift card successfully removed."
"Your points are successfully removed.","Your points are successfully removed."
"Gift card successfully applied.","Gift card successfully applied."
"Your points are successfully redeemed.","Your points are successfully redeemed."
cart,cart
Configuration,Configuration
"Service Base URL","Service Base URL"
"LS Key","LS Key"
"Please validate your base url by clicking on button above","Please validate your base url by clicking on button above"
"Select Store","Select Store"
"Choose the web store","Choose the web store"
"Select Hierarchy Code","Select Hierarchy Code"
"Required to get hierarchy node and leaf from omni","Required to get hierarchy node and leaf from omni"
Debug,Debug
"Debug Mode for Omni Client","Debug Mode for Omni Client"
"LS Recommend","LS Recommend"
Enabled,Enabled
"Show on Product Page","Show on Product Page"
"Show on Cart Page","Show on Cart Page"
"Show on Home Page","Show on Home Page"
"Gift Card","Gift Card"
"Show on Checkout Page","Show on Checkout Page"
"Discount and Coupon Management","Discount and Coupon Management"
"Show Promotions on Product Page","Show Promotions on Product Page"
"Show Coupons on Cart/Checkout Page","Show Coupons on Cart/Checkout Page"
"Discount Popup Mix and Match Products Limit","Discount Popup Mix and Match Products Limit"
"Stores Listing","Stores Listing"
"Opening Hours Time Format","Opening Hours Time Format"
"Click And Collect","Click And Collect"
Title,Title
"Method Name","Method Name"
"Allowed Payment Methods","Allowed Payment Methods"
"Shipping Cost","Shipping Cost"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"Pay at the Store","Pay at the Store"
"Google Maps API Key","Google Maps API Key"
