"Customer session not active. Please log in.","Customer session not active. Please log in."
"Required parameter ""item_id"" is missing","Required parameter ""item_id"" is missing"
"Avail %1 Off ","Avail %1 Off "
"if Buy with any of these items: ","if Buy with any of these items: "
"The module is not enabled","The module is not enabled"
"Required parameter ""cartId"" is missing","Required parameter ""cartId"" is missing"
"""model"" value should be specified","""model"" value should be specified"
"Only logged in user can use loyalty points","Only logged in user can use loyalty points"
"Required parameter ""store_id"" is missing","Required parameter ""store_id"" is missing"
"Required parameter ""parent_sku"" is missing","Required parameter ""parent_sku"" is missing"
"Required parameter ""cart_id"" is missing","Required parameter ""cart_id"" is missing"
"Oops! Unable to do stock lookup currently.","Oops! Unable to do stock lookup currently."
"Parameter ""parent_sku"" is incorrect!","Parameter ""parent_sku"" is incorrect!"
"Parameter ""sku"" is incorrect!","Parameter ""sku"" is incorrect!"
Save,Save
Tax,Tax
Discount,Discount
"Required parameter ""cart_id"" is missing.","Required parameter ""cart_id"" is missing."
"Required parameter ""code"" for ""payment_method"" is missing.","Required parameter ""code"" for ""payment_method"" is missing."
"Required parameter ""shipping_methods"" is missing","Required parameter ""shipping_methods"" is missing"
"Unable to use selected shipping method since some or all of the cart items are not available in selected store.","Unable to use selected shipping method since some or all of the cart items are not available in selected store."
